patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
374,8.919429,4.762808,2.3033202,5.847492,5.7964354,5.7046027,4.3089037,5.726993,3.765266,6.572469,5.98254,6.0054965,4.311797,6.405696,5.188847,5.039502
262,9.485171,5.010758,2.330683,5.4206753,5.134822,5.0764813,4.029864,6.508683,4.540044,6.8548923,5.0851107,5.760441,4.621548,6.0003066,5.5478573,5.6369314
195,8.415794,4.9251018,2.4085066,4.5634165,4.53782,5.403829,4.6101847,6.214716,4.4007564,6.6157856,5.4587693,5.9795747,4.1824355,5.2300096,5.903608,4.745583
131,8.567793,4.8963385,2.50041,4.606136,4.6013026,5.316354,4.4357433,6.2155323,4.512169,6.626292,5.381371,5.953101,4.1545405,5.328584,5.9650693,4.8896465
77,3.1738698,5.340729,2.1472023,4.217292,4.102116,4.605272,5.7428784,5.2533526,5.8442316,5.987766,5.6612067,5.957131,4.6688685,4.9418516,4.9629035,4.1138277
95,5.0067515,4.768568,2.1597085,4.7436833,5.2587123,5.109006,5.1148534,4.7440143,4.379611,6.0500536,5.253574,6.784485,4.225134,5.0847993,4.625907,4.4752502
140,10.076198,5.1820707,2.9465222,5.41223,5.343293,5.489346,4.2231255,6.1266274,3.0812113,6.2441006,6.3744874,6.1163864,3.4609845,5.938135,5.6286755,4.866309
343,5.3054843,4.3791704,2.1929839,4.774406,4.894332,5.0163994,4.718564,4.8833537,5.3812566,6.6882105,4.652336,6.423199,4.5055327,4.769944,5.1223807,4.822895
173,9.322107,4.959583,2.2365649,5.28152,4.9672513,5.305084,4.1056476,6.5220094,4.602673,7.024854,4.998282,5.809908,4.6113486,6.0331106,5.6538625,5.493114
757,9.746897,5.2392573,2.8327677,5.2169533,5.0477595,5.706316,4.3442883,6.1843247,3.3211732,6.4156218,6.2057705,6.206244,3.7730503,5.6609826,5.7050443,4.68953
155,8.766707,4.8083925,2.0339422,5.630369,5.349064,5.551957,4.2166657,6.121132,4.6245136,6.999523,5.2074375,5.8112617,4.9720683,6.2819624,5.366506,5.3830285
74,5.489085,4.465562,2.3830056,4.9180913,4.9964213,5.1162224,4.8212934,4.73786,5.1529174,6.53132,5.1373353,6.217712,4.406583,5.251886,5.2249055,4.595279
699,8.974509,4.716205,2.1794426,5.9265513,5.862568,5.8729343,4.3381033,5.811863,3.7930663,6.5470586,6.117433,5.936625,4.51902,6.521631,5.147454,5.025059
386,10.113254,5.288214,2.9190276,5.2928553,5.1715984,5.6243815,4.275397,6.241507,3.0715287,6.3404617,6.3689737,6.1854463,3.5540411,5.7888627,5.71473,4.755008
10,9.957675,4.7212725,1.8752481,5.0144706,4.9209356,5.608458,3.9473057,7.089775,5.149217,7.311276,4.513206,5.691969,4.939107,6.3769126,5.9137254,5.9480653
70,5.494214,4.3432574,2.282435,5.1404915,5.01202,5.051294,4.677401,4.738597,5.494353,6.7278595,4.6902742,6.195056,4.6201677,5.0564322,5.1912246,4.8046966
705,10.081636,4.791487,2.2485135,4.9960666,5.0245423,5.4750524,3.9106483,7.030811,4.7986135,6.793574,5.002395,5.8780494,4.7440977,5.9669256,5.833837,5.8212485
471,8.622217,4.9834905,2.35805,4.565769,4.4971123,5.436112,4.5223374,6.4169436,4.504357,6.7541,5.257416,5.9610248,4.3333817,5.2562027,5.952448,4.911808
48,3.5853388,5.4198833,2.1229525,4.191775,4.239707,4.6713943,5.614102,5.352729,5.534806,5.9932613,5.7665424,6.0415354,4.5680156,4.6889334,4.929132,4.347353
146,5.226582,4.6104593,2.2161899,4.7262273,5.118534,5.103978,4.9282637,4.7977867,4.6064334,6.303111,5.052276,6.6470056,4.260654,4.966737,4.8821764,4.6316786
129,8.632945,4.9320583,2.4515567,4.608139,4.4732633,5.370487,4.3938227,6.389411,4.7095137,6.6819344,5.2188725,5.9500766,4.4013314,5.2990284,5.956146,5.0511475
19,9.639531,5.356012,2.7296803,5.0434604,4.540198,5.2840147,4.04594,6.792811,4.5399723,6.6737504,5.1563544,6.024505,4.63303,5.4381094,5.8258567,5.40466
755,5.3753295,4.377829,2.2341897,5.191849,4.980698,5.047756,4.7138033,4.757245,5.609153,6.753203,4.6562185,6.126502,4.7143717,5.086124,5.1765924,4.813858
708,8.766453,4.645448,2.0475824,5.735113,5.645892,5.539823,4.1774597,5.8751082,4.440192,7.0135403,5.1768203,5.9826202,4.6416936,6.3910313,5.2689233,5.439197
321,5.3972588,4.4310102,2.027043,4.998647,4.8876405,5.097456,4.7090473,5.0374255,5.5973134,6.8310122,4.5920596,6.1909738,4.815184,5.0945177,5.178176,4.904231
657,5.5897417,4.3910823,2.0563638,5.083959,5.022978,5.128663,4.6553493,4.9818106,5.4573016,6.815299,4.6048274,6.259538,4.7309904,5.079895,5.076063,4.9845505
64,5.3915915,4.44518,2.1721225,4.703518,4.7895236,5.094386,4.6948256,4.884649,4.9638386,6.6545143,4.7561293,6.2749,4.4030466,5.092773,5.407856,4.6827364
78,5.827702,4.6352572,2.344968,4.810738,4.8310976,5.0172453,4.7781205,5.104735,5.0781546,6.476733,5.1120143,6.080052,4.4382906,5.196944,5.453302,4.678555
